Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=1)
Mean_return:1.38 Frame:22.09 M  Time_used 22H-5M Time_togo 177H-59M
Mean_return:1.48 Frame:22.20 M  Time_used 22H-11M Time_togo 177H-47M
Mean_return:1.54 Frame:22.31 M  Time_used 22H-17M Time_togo 177H-31M
Mean_return:1.42 Frame:22.43 M  Time_used 22H-23M Time_togo 177H-17M
Mean_return:1.36 Frame:22.54 M  Time_used 22H-29M Time_togo 177H-3M
Mean_return:1.27 Frame:22.64 M  Time_used 22H-34M Time_togo 176H-49M
Mean_return:1.45 Frame:22.75 M  Time_used 22H-39M Time_togo 176H-35M
Mean_return:1.58 Frame:22.86 M  Time_used 22H-45M Time_togo 176H-23M
Mean_return:1.33 Frame:22.97 M  Time_used 22H-51M Time_togo 176H-10M
------------------------------------------------------------
Num steps: 5750000  return: 367.2
------------------------------------------------------------
Mean_return:1.4 Frame:23.07 M  Time_used 23H-5M Time_togo 177H-7M
