Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=0)
Mean_return:1.47 Frame:16.55 M  Time_used 15H-5M Time_togo 167H-11M
Mean_return:1.44 Frame:16.66 M  Time_used 15H-9M Time_togo 166H-55M
Mean_return:1.53 Frame:16.78 M  Time_used 15H-15M Time_togo 166H-37M
Mean_return:1.42 Frame:16.88 M  Time_used 15H-19M Time_togo 166H-18M
Mean_return:1.56 Frame:16.99 M  Time_used 15H-24M Time_togo 166H-0M
------------------------------------------------------------
Num steps: 4250000  return: 400.0
------------------------------------------------------------
Mean_return:1.41 Frame:17.10 M  Time_used 15H-37M Time_togo 167H-8M
Mean_return:1.24 Frame:17.20 M  Time_used 15H-42M Time_togo 166H-53M
Mean_return:1.32 Frame:17.31 M  Time_used 15H-47M Time_togo 166H-40M
Mean_return:1.21 Frame:17.41 M  Time_used 15H-52M Time_togo 166H-29M
Mean_return:1.78 Frame:17.53 M  Time_used 15H-58M Time_togo 166H-14M
Mean_return:1.51 Frame:17.65 M  Time_used 16H-3M Time_togo 165H-57M
Mean_return:1.49 Frame:17.75 M  Time_used 16H-8M Time_togo 165H-41M
Mean_return:1.38 Frame:17.86 M  Time_used 16H-13M Time_togo 165H-26M
Mean_return:1.49 Frame:17.97 M  Time_used 16H-18M Time_togo 165H-14M
------------------------------------------------------------
Num steps: 4500000  return: 353.2
------------------------------------------------------------
Mean_return:1.12 Frame:18.06 M  Time_used 16H-30M Time_togo 166H-18M
Mean_return:1.49 Frame:18.17 M  Time_used 16H-35M Time_togo 166H-1M
Mean_return:1.68 Frame:18.29 M  Time_used 16H-40M Time_togo 165H-43M
Mean_return:1.41 Frame:18.39 M  Time_used 16H-45M Time_togo 165H-29M
Mean_return:1.37 Frame:18.49 M  Time_used 16H-50M Time_togo 165H-14M
Mean_return:1.38 Frame:18.60 M  Time_used 16H-55M Time_togo 164H-58M
Mean_return:1.53 Frame:18.71 M  Time_used 17H-0M Time_togo 164H-45M
Mean_return:1.55 Frame:18.81 M  Time_used 17H-5M Time_togo 164H-34M
Mean_return:1.69 Frame:18.92 M  Time_used 17H-10M Time_togo 164H-23M
------------------------------------------------------------
Num steps: 4750000  return: 598.0
------------------------------------------------------------
Mean_return:1.59 Frame:19.03 M  Time_used 17H-23M Time_togo 165H-28M
Mean_return:1.34 Frame:19.13 M  Time_used 17H-29M Time_togo 165H-17M
Mean_return:1.33 Frame:19.24 M  Time_used 17H-33M Time_togo 165H-3M
Mean_return:1.24 Frame:19.33 M  Time_used 17H-38M Time_togo 164H-51M
Mean_return:1.45 Frame:19.44 M  Time_used 17H-43M Time_togo 164H-38M
Mean_return:1.67 Frame:19.56 M  Time_used 17H-49M Time_togo 164H-26M
Mean_return:1.32 Frame:19.66 M  Time_used 17H-54M Time_togo 164H-13M
Mean_return:1.44 Frame:19.77 M  Time_used 17H-59M Time_togo 163H-59M
Mean_return:1.72 Frame:19.88 M  Time_used 18H-4M Time_togo 163H-46M
------------------------------------------------------------
Num steps: 5000000  return: 457.5
------------------------------------------------------------
